#SOCIAL
Name        accuse~
CharNoArg   Accuse whom?~
OthersNoArg $n is in an accusing mood.~
CharFound   You look accusingly at $N.~
OthersFound $n looks accusingly at $N.~
VictFound   $n looks accusingly at you.~
CharAuto    You accuse yourself.~
OthersAuto  $n seems to have a bad conscience.~
End

#SOCIAL
Name        ack~
CharNoArg   You gasp and say 'ACK!' at your mistake.~
OthersNoArg $n ACKS at $s big mistake.~
CharFound   You ACK $M.~
OthersFound $n ACKS $N.~
VictFound   $n ACKS you.~
CharAuto    You ACK yourself.~
OthersAuto  $n ACKS $mself.  Must be a bad day.~
End

#SOCIAL
Name        adore~
CharNoArg   You are looking for someone to adore!~
OthersNoArg $n is looking for someone to adore!~
CharFound   You look at $N with adoring eyes.~
OthersFound $n looks at $N with adoring eyes.~
VictFound   $n looks at you with adoring eyes.~
CharAuto    Aww! You adore yourself!~
OthersAuto  $n adores $mself soooo much!~
End

#SOCIAL
Name        agree~
CharNoArg   You seem to be in an agreeable mood.~
OthersNoArg $n seems to agree.~
CharFound   You agree with $M.~
OthersFound $n agrees with $N.~
VictFound   $n agrees with you.~
CharAuto    Well I hope you would agree with yourself!~
OthersAuto  $n agrees with $mself, of course.~
End

#SOCIAL
Name        babe~
CharNoArg   You strike a pose in your most babe-like style!~
OthersNoArg $n strikes a pose in $s most babe-like style!~
CharFound   You look at $N and think, "Wow! What a babe!"~
OthersFound $n looks at $N and thinks, "Wow! What a babe!"~
VictFound   $n thinks you are a supreme babe!~
CharAuto    You think you are a babe!~
OthersAuto  $n seems to think that $e is a babe!~
End

#SOCIAL
Name        bah~
CharNoArg   You utter "Bah" out of frustration.~
OthersNoArg $n says, "Bah" and turns away in contempt.~
CharFound   You utter incoherent words in your state of anxiety.~
OthersFound $n begins making sheeplike noises.~
VictFound   $n bahs at you.~
CharAuto    Talking to yourself again?~
OthersAuto  $n is obviously frustrated at something or someone..~
End

#SOCIAL
Name        bashful~
CharNoArg   For some reason, you start feeling very bashful.~
OthersNoArg $n begins looking quite bashful.~
CharFound   You look up at $N, look at the ground and bashfully trace figure eights with your foot.~
OthersFound $n looks at $N, then bashfully stares at $s feet.~
VictFound   $n looks up at you, then bashfully traces figure eights with $s foot.~
CharAuto    For some reason, you start feeling very bashful.~
OthersAuto  $n begins looking quite bashful.~
End

#SOCIAL
Name        bbl~
CharNoArg   You announce that you will be back later.~
OthersNoArg $n announces that $e'll be back later.~
CharFound   You inform $M that you will be back later.~
OthersFound $n informs $N that $e will be back later~
VictFound   $n informs you that $e will be back later~
CharAuto    You mumble to yourself that you'll be back later.~
OthersAuto  $n mumbles to $mself that $e'll be back later.~
End

#SOCIAL
Name        bearhug~
CharNoArg   You hug a grizzly bear.~
OthersNoArg $n hugs a flea-infested grizzly bear.~
CharFound   You bearhug $M.~
OthersFound $n bearhugs $N.  Some ribs break.~
VictFound   $n bearhugs you.  Wonder what's coming next?~
CharAuto    You bearhug yourself.~
OthersAuto  $n bearhugs $mself.~
End

#SOCIAL
Name        bkiss~
CharNoArg   Blow a kiss to whom?~
OthersNoArg $n blows at $s hand.~
CharFound   You blow a kiss to $M.~
OthersFound $n blows a kiss to $N.  Touching, ain't it?~
VictFound   $n blows a kiss to you.  Not as good as a real one, huh?~
CharAuto    You blow a kiss to yourself.~
OthersAuto  $n blows a kiss to $mself.  Weird.~
End

#SOCIAL
Name        bleed~
CharNoArg   You bleed all over the room!~
OthersNoArg $n bleeds all over the room!  Get out of $s way!~
CharFound   You bleed all over $M!~
OthersFound $n bleeds all over $N.  Better leave, you may be next!~
VictFound   $n bleeds all over you!  YUCK!~
CharAuto    You bleed all over yourself!~
OthersAuto  $n bleeds all over $mself.~
End

#SOCIAL
Name        blink~
CharNoArg   You blink in utter disbelief.~
OthersNoArg $n blinks in utter disbelief.~
CharFound   You blink at $M in confusion.~
OthersFound $n blinks at $N in confusion.~
VictFound   $n blinks at you in confusion.~
CharAuto    You are sooooooooooooo confused~
OthersAuto  $n blinks at $mself in complete confusion.~
End

#SOCIAL
Name        blush~
CharNoArg   Your cheeks are burning.~
OthersNoArg $n blushes.~
CharFound   You get all flustered up seeing $M.~
OthersFound $n blushes as $e sees $N here.~
VictFound   $n blushes as $e sees you here.  Such an effect on people!~
CharAuto    You blush at your own folly.~
OthersAuto  $n blushes as $e notices $s boo-boo.~
End

#SOCIAL
Name        bonk~
CharNoArg   You look for someone to bonk!~
OthersNoArg $n looks around for someone to bonk! Better start running now!~
CharFound   You bonk $N! BONK!! BONK!! BONK!!~
OthersFound $n bonks $N! BONK!! BONK!! BONK!!~
VictFound   $n bonks you! BONK!! BONK!! BONK!!~
CharAuto    You bonk yourself! Owwwww!! Waaaaaaaaaaa!~
OthersAuto  $n bonks $mself! Whatta loon.. eh?~
End

#SOCIAL
Name        bow~
CharNoArg   You bow deeply.~
OthersNoArg $n bows deeply.~
CharFound   You bow before $M.~
OthersFound $n bows before $N.~
VictFound   $n bows before you.~
CharAuto    You kiss your toes.~
OthersAuto  $n folds up like a jack knife and kisses $s own toes.~
End

#SOCIAL
Name        brb~
CharNoArg   You announce that you will be right back.~
OthersNoArg $n says in a stern voice, 'I'll be back!'~
CharFound   You announce to $M that you will be right back.~
OthersFound $n says to $N in a stern voice, 'I'll be back!'~
VictFound   $n says to you in a stern voice, 'I'll be right back!'~
CharAuto    You mumble to yourself, 'I'll be right back'~
OthersAuto  $n mumbles to $mself, 'I'll be right back, won't I?'~
End

#SOCIAL
Name        bye~
CharNoArg   You say goodbye to all in the room.~
OthersNoArg $n says goodbye to everyone in the room.~
CharFound   You say goodbye to $N.~
OthersFound $n says goodbye to $N.~
VictFound   $n says goodbye to you.~
CharAuto    You say goodbye to yourself.  Contemplating suicide?~
OthersAuto  $n says goodbye to $mself.  Is $e contemplating suicide?~
End

#SOCIAL
Name        caress~
CharNoArg   Who needs to be caressed?~
OthersNoArg $n caresses $s hands softly because no one else will.~
CharFound   You gently caress $S face.~
OthersFound $n gently caresses $N's face.~
VictFound   $n gently caresses your face.~
CharAuto    You gently caress your face. My, what soft skin.~
OthersAuto  $n gently caresses $s face.~
End

#SOCIAL
Name        cheer~
CharNoArg   And the peasants rejoiced...~
OthersNoArg $n emits an unrivaled cheer! Woo!~
CharFound   You show your wild enthusiasm for your new friend, $N.~
OthersFound $n cheers maniacally as $N shows them who's boss.~
VictFound   $n cheers you on like it's going out of style.~
CharAuto    Go me!~
OthersAuto  $n thinks $e's pretty damned neat.  Go $n!!!~
End

#SOCIAL
Name        chuckle~
CharNoArg   You chuckle politely.~
OthersNoArg $n chuckles politely.~
CharFound   You chuckle at $S joke.~
